"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2009-51",3.15407778333333,0.774457943333333,0.517996053333333,0.76096755,0.270458473333333,0.941269426666667,0.654571553333333,0.0423999471,0.59950934,0.240094973,1.27053813333333,0.0794880223333334,-0.471634273333333,0.578954870333333,0.375314923333333,0.704015376666667,0.513633173666667,0.0237243573333333,0.410849705,0.385624025,0.623305846666667,-0.415308438666667,0.567282966666667,0.399932473333333,-0.097623628,0.0574842121266667,0.3865465929,0.303276887333333,0.504802336666667,0.43339897
"2009-52",0.21008235,-0.6139849175,-0.41521497,0.00238665875,-0.1294180625,-0.409146621,-0.5592495075,-0.0210990825,0.16242832,-0.122484825,0.470702885,-0.05983654,-0.4383869275,-0.4708767225,-0.0590671775,0.4047371875,0.1674660325,-0.09168238825,0.0728237555,-0.1337028575,-0.37898705725,-0.48496988,-0.33525181,-0.5265876775,-0.27649258025,-0.0519513025,-0.04459264,0.057073065,-0.15269834,0.101091495
"2010-01",1.1413284,0.465297619,0.7185867104,-0.676394202,2.136196422,2.650801158,1.145616222,0.6420816084,0.58969802,-0.649784984,0.15602216,0.401673042,1.889701498,0.4280719438,0.037718884,0.413499574,0.00163550800000002,-0.037545662,1.410332162,1.2634540046,-0.18317614,0.6403117942,0.1150841046,0.539641296,-0.063207292,0.373680792,-0.8380000204,-0.0376595744,-0.2357507648,0.4276786608
"2010-02",-1.54315264,0.2979126574,0.200190806,-0.952275517,-0.567128664,-0.246702574,-0.0178606045999999,-0.07859174,-0.202406762,0.427436902,0.06787269,-0.1159627068,-0.1776266278,-0.0402380232,-0.26792296,-0.00594948999999997,0.153508154,0.088695444,-0.447425312,0.457372328,0.1494349928,0.935918298,0.163616062,0.846805196,0.1278758078,0.39812706,-0.7423456178,0.134361918,-0.79620956,-0.221421943
"2010-03",-3.77536992,-0.8565646845,-2.198191863,-0.4321424325,-2.1622125475,-1.28726801,-2.5220857,-1.47473144,-1.465211175,-0.936683755,-1.13938594,-1.1145980225,-0.51676323,-1.54906741,-0.74367233,-1.079506635,-1.210244675,-0.5044109125,-2.651617395,-1.48275438,0.4512027925,-0.346476875,-1.6385587725,-0.6745172925,-0.1914312025,-1.047695645,-0.182928325,-0.3283641725,-0.52243674,-0.584544015
"2010-04",-0.9958243398,0.135788586,-0.51621219,-0.003581166,0.329141554,1.0075982378,-0.710521014,-0.6690381728,-0.413672816,0.00841931,0.08506365,-0.522593166,-0.02709592,-0.908859144,0.217613344,-0.51396252,-0.501329344,-0.1067243364,-0.1115070814,-0.132346024,-0.3172543108,-0.359444326,-0.535034004,-0.281307812,0.396807838,-0.457874428,-0.624126676,0.183706947,-0.273977648,-0.231698542
"2010-05",0.74626588,-0.465101138,0.120892632,-0.0802385716,-0.116771444,-0.70742898,-0.167521866,-0.2336048666,1.065743378,-0.423275034,0.0880161380000001,0.176093652,-0.3204772,0.145120424,0.00631550399999997,0.121598,0.2252865698,-0.0619872378,-0.262765247,0.5555611428,0.327870428,-0.738461188,-0.075562328,-0.73879136,-0.061092956,-0.278609888,-0.445880396,0.01976377,0.0141940190000001,-0.4639511982
"2010-06",0.156785528,0.268485368,0.370542114,-0.09215937,-0.66224834,0.446361396,1.72380895,0.038911276,0.047267478,0.37365867,-0.242109808,0.08621141,-0.286393472,0.475430132,0.70224802,0.992654226,0.055648224,0.1154176548,0.39302181,0.2693505,0.078351582,0.180852804,-0.046935856,-0.175831628,0.203520558,-0.215739509,0.142437876,-0.2086705206,0.371211924,0.176896016
"2010-07",0.48273278,0.65583391,0.3414433825,-0.0428077375,2.2526479325,1.598215665,0.8872125225,0.975680445,0.6209146425,0.7473125825,1.312968425,0.291285735,0.9425955625,1.18109146725,0.98164161,0.4268538745,0.6395257175,0.316056105,0.59376461375,0.0975537225,0.41793135,0.29728197,0.69926856,0.2532265925,0.6136198975,1.019170185,0.06699246325,0.28161713325,0.9427989175,0.733777305
"2010-08",-0.301547127838,-0.014073574,-0.421638424,-0.207464092,1.04635329,-0.113322482,-0.420660714,-0.5071576342,0.00655485879999998,-1.071831464,-0.19464007,-0.260707422,-0.090826944,-0.00697446399999999,0.691401634,-0.253105484,0.012160493,-0.239228046,0.985598752,-0.3527912942,-0.2522535962,-0.313922692,-0.00740073999999999,-0.479689662,-0.051934351,0.0548857594,-0.051964735,0.21306713,0.0225046138,-0.33817268
"2010-09",0.79194984,0.5620252864,1.024736178,0.1253193292,0.00820723199999999,1.4885365588,0.761897566,0.585434834,0.7053002864,0.72233633874,0.734770333,0.4567447354,0.3379268166,0.4912446002,0.389707562,0.2481577726,0.0195451266,0.3284553438,0.385534286,0.633493516,-0.06809158,0.346859456,-0.077913778,-0.074882686,0.1295269482,0.756837494,0.193916522,0.0342248,1.213200548,0.5722379708
"2010-10",-0.38878577,-0.5132724408,0.3017467282,0.4855027302,0.1947126384,0.540704974,0.391621326,-0.158685354,0.5153332166,-0.494343862,0.280454282,0.0878841548,0.847804282,0.139543904,0.4147668022,0.459076237,0.1038086352,0.0375090416,0.188636048,0.074973901,0.5908971852,-0.190245574,0.473079088,-0.470750792,-0.111490796,0.06196445,0.342608318,-0.083958802,0.3010036756,-0.272214756
"2010-11",1.033074588,0.139968778,-0.2093117044,0.480087032,-0.02200242,0.365788908,-0.3222284282,0.24124742,0.224527028,0.5133287642,0.786880236,0.0445035416,1.169242762,0.0312527574,-0.0670668236,0.685705854,-0.061850564,0.2671563254,0.117931472,0.122856286,0.29167416,0.458743692,0.2058001464,-0.207041312,0.148256627,0.474853488,0.44532351,0.5586997824,-0.0591831574,0.161908234
"2010-12",0.00431162399999995,0.079571746,0.392972394,0.029033428,1.235787206,0.426258514,1.0163371398,-0.054210056,0.2384877012,-0.021995136,0.466885468,-0.113249842,0.322011924,0.368130348,0.248965034,0.221600338,0.269191584,-0.197796451,0.7236182988,0.672173041,0.228965526,-0.320263618,0.0625781408,0.281700774,-0.0222082366,0.11299212,-0.013199478,0.0367785022,1.01090178,-0.238495004
"2010-13",0.75721089,0.5394205925,0.3527850925,-0.11004521,0.200331525,0.12153214,0.6186612575,0.7513250465,-0.6137131,0.2927270525,0.13901942,0.39794961775,-0.0131967125,-0.0877883,-0.29027816525,0.17958780075,-0.19904824625,0.52760452,0.098982365,-0.23186774075,0.125441925,0.207359975,-0.4379167,-0.088897205,-0.1352656535,0.1706686475,0.76420336,-0.00377832,0.152851625,0.878375675
"2010-14",-0.420695684,0.08889331,1.024067618,0.2590115934,0.61648648,-0.14113138,0.4040844238,0.727340142,0.607465064,-0.250787216,0.6706032092,0.34730948,0.198641436,0.234715592484,0.539647232,0.14577853,0.087302154,-0.188468188,0.334508052,-0.0722410664,0.320219698,-0.3917077596,0.8063080894,0.214558202,-0.19254754,-0.04360634,-0.790827726,-0.1522537748,0.383817304,-0.088775222
"2010-15",-0.636727238,-0.026858015,0.584477602,-0.3773335548,-0.247749742,-0.446618468,0.502043622,0.319250958,0.30673502,0.142343044,-0.252910756,-0.2426559078,0.516004584,-0.0341965872,1.036558834,1.2178993208,0.281209464,-0.0313578879,-0.07622261,0.292972376,0.102715678,-0.678820082,0.244391874,-0.514077656,0.0386771564,-0.062107034,-0.313036622,-0.34952904883,-0.19792062,0.0799805
"2010-16",0.277843318,0.43963966,1.252821228,0.231549926,0.116375586,1.203640254,0.56823858,0.47028054,0.334847048,-0.400661398,0.788102148,0.378971798,0.084701496,0.05569469,0.7843869596,0.08059267,-0.089815696,0.00408749439999998,-0.33507589,-0.380052508,0.6137741362,-0.103075202,0.179701846,0.114380896,0.212712161,0.7540391834,-0.367317502,0.1440168868,0.506225594,0.64686793
"2010-17",-0.962811472,-0.147076202,-0.787190744,-0.146130452602,-0.66211746,-0.726552556,-0.163292512,-0.2764588304,-0.377698328,-0.167042108,-0.162897748,-0.4173333148,-0.15855686,-0.732976128,-0.623689726,-1.005764968,-0.160934066,-0.217542152,-1.05621072,-0.3327210644,-0.158604914,-0.227058716,-0.27630887,-0.215645496,-0.447310388,-0.3932526218,-0.098992296,-0.3130008966,0.034320989,0.474591076
"2010-18",-2.224813438,-0.43335125,-2.46389336,-0.75036941,-1.830728476,-1.61001086,-1.77368172,-1.068270424,-1.6985440808,-0.296393488,-1.872206886,-1.2204611154,-2.20095054,-2.084755294,-1.044963534,-1.3685247,-1.09415881,-0.308028116,-0.8040394144,0.361000082,-0.7275575136,-0.908290524,-1.5702276,-0.2926139,-0.587021606,-1.507655978,-0.486060008,-0.451074062,-1.90888752,-1.39593426
"2010-19",0.6728264,0.8290770222,0.103849552,0.253368268,0.278039384,0.97913024,0.935891778,0.22774538,0.232183814,0.29674074,0.833637744,-0.00523211599999998,0.94846203,0.3623258,1.073182226,0.60055582,1.502215402,0.211631724,-0.432273278,-0.023748656,0.479409046,-0.321331174,0.52263463,-0.3045002962,0.7509866608,0.6455940074,0.221663946,-0.1314954984,0.4391198,0.535751642
